"cp_dest","cp_origin","category","num_cards","num_payments","incomes","incomes_per","contiguous","Freq","id","lon_origin","lat_origin","lon_dest","lat_dest"
28023,28047,"es_health",11,22,4202.51,1,"no",3,"46",-3.74648103459094,40.3942375784472,-3.78085002716303,40.4643151105517
28023,28034,"es_health",27,38,1765.04,0.26,"no",3,"33",-3.6933217956549,40.4946657871205,-3.78085002716303,40.4643151105517
28023,28004,"es_hyper",149,237,12367.32,1.72,"no",3,"3",-3.69826357088344,40.4253571549298,-3.78085002716303,40.4643151105517
28023,28034,"es_wellnessandbeauty",46,48,2491.95,0.53,"no",3,"33",-3.6933217956549,40.4946657871205,-3.78085002716303,40.4643151105517
28023,28010,"es_otherservices",28,34,959.41,0.35,"no",3,"9",-3.69540345003468,40.4341148188681,-3.78085002716303,40.4643151105517
28023,28005,"es_fashion",56,83,2304.32,0.15,"no",3,"4",-3.71127263886214,40.4071758962516,-3.78085002716303,40.4643151105517
28023,28023,"es_hyper",3326,7597,532071.65,59.4,"exacto",3,"22",-3.78085002716303,40.4643151105517,-3.78085002716303,40.4643151105517
28023,28030,"es_wellnessandbeauty",3,3,90.54,0.02,"no",3,"29",-3.64006611319593,40.4077921632161,-3.78085002716303,40.4643151105517
28023,28017,"es_hyper",114,157,8955.54,1.01,"no",3,"16",-3.64187532573015,40.4254521976648,-3.78085002716303,40.4643151105517
28023,28036,"es_fashion",98,191,10782.32,1.69,"no",3,"35",-3.68045575458348,40.4686255344005,-3.78085002716303,40.4643151105517
28023,28041,"es_food",30,42,2011.69,0.16,"no",3,"40",-3.69830188739543,40.3661513073413,-3.78085002716303,40.4643151105517
28023,28047,"all",918,1294,72657.16,1.4,"no",3,"46",-3.74648103459094,40.3942375784472,-3.78085002716303,40.4643151105517
28023,28007,"es_otherservices",58,79,2695.26,0.69,"no",3,"6",-3.66959580903937,40.4095130293538,-3.78085002716303,40.4643151105517
28023,28001,"all",520,1054,69760.04,1.33,"no",3,"0",-3.6827947428548,40.4266206569017,-3.78085002716303,40.4643151105517
28023,28023,"es_contents",212,235,8069.21,19.31,"exacto",3,"22",-3.78085002716303,40.4643151105517,-3.78085002716303,40.4643151105517
28023,28032,"es_otherservices",6,8,192.25,0.08,"no",3,"31",-3.60254902030191,40.4107577896408,-3.78085002716303,40.4643151105517
28023,28014,"es_health",11,17,833.36,0.5,"no",3,"13",-3.69018557385281,40.4142116409088,-3.78085002716303,40.4643151105517
28023,28007,"es_hyper",173,292,20692.01,1.18,"no",3,"6",-3.66959580903937,40.4095130293538,-3.78085002716303,40.4643151105517
28023,28004,"es_health",26,54,3442.3,1.02,"no",3,"3",-3.69826357088344,40.4253571549298,-3.78085002716303,40.4643151105517
28023,28035,"es_wellnessandbeauty",24,31,2832.4,0.59,"si",3,"34",-3.73369391897679,40.477443809722,-3.78085002716303,40.4643151105517
28023,28017,"all",415,571,22542.01,0.28,"no",3,"16",-3.64187532573015,40.4254521976648,-3.78085002716303,40.4643151105517
28023,28015,"es_health",30,40,15158.35,2.7,"no",3,"14",-3.70949449786892,40.4337829665051,-3.78085002716303,40.4643151105517
28023,28015,"es_otherservices",55,78,2127.31,0.78,"no",3,"14",-3.70949449786892,40.4337829665051,-3.78085002716303,40.4643151105517
28023,28012,"es_barsandrestaurants",46,62,3085.18,0.84,"no",3,"11",-3.6994432279276,40.4108426467081,-3.78085002716303,40.4643151105517
