"category","cp_origin","month","exp_in","exp_out","exp_total","exp_in_per","exp_out_per"
"all","28012",dic 2012,128156.61,512687.64,640844.25,20,80
"all","28012",ene 2013,111127.13,476857.3,587984.43,18.9,81.1
"all","28012",feb 2013,125297.29,432966.7,558263.99,22.44,77.56
"all","28012",mar 2013,120409,463651.46,584060.46,20.62,79.38
"all","28012",abr 2013,139467.36,470059.82,609527.18,22.88,77.12
"all","28013",nov 2012,86227.78,169061.67,255289.45,33.78,66.22
"all","28013",dic 2012,101120.52,181099.34,282219.86,35.83,64.17
"all","28013",ene 2013,89805.46,156632.4,246437.86,36.44,63.56
"all","28013",feb 2013,78320.78,162653.29,240974.07,32.5,67.5
"all","28013",mar 2013,76094.02,161206.16,237300.18,32.07,67.93
"all","28013",abr 2013,81033.18,173637.98,254671.16,31.82,68.18
"all","28014",nov 2012,47509.75,419124.63,466634.38,10.18,89.82
"all","28014",dic 2012,48861.8,456650.49,505512.29,9.67,90.33
"all","28014",ene 2013,38959.18,384168.62,423127.8,9.21,90.79
"all","28014",feb 2013,41533.26,367610.42,409143.68,10.15,89.85
"all","28014",mar 2013,42726.12,377201.73,419927.85,10.17,89.83
"all","28014",abr 2013,45337.89,413468.76,458806.65,9.88,90.12
"all","28015",nov 2012,367668.38,755589.66,1123258.04,32.73,67.27
"all","28015",dic 2012,405298.4,825456.03,1230754.43,32.93,67.07
"all","28015",ene 2013,340064.91,810739.06,1150803.97,29.55,70.45
"all","28015",feb 2013,317288.22,706661.97,1023950.19,30.99,69.01
"all","28015",mar 2013,360032.22,732036.02,1092068.24,32.97,67.03
"all","28015",abr 2013,366670.26,791070.64,1157740.9,31.67,68.33
"all","28016",nov 2012,392470.52,668186.24,1060656.76,37,63
"all","28016",dic 2012,426964.06,771461.04,1198425.1,35.63,64.37
"all","28016",ene 2013,332602.23,674058.01,1006660.24,33.04,66.96
"all","28016",feb 2013,358298.74,609465.18,967763.92,37.02,62.98
"all","28016",mar 2013,355913.59,582002.85,937916.44,37.95,62.05
"all","28016",abr 2013,390145.94,691775.11,1081921.05,36.06,63.94
"all","28017",nov 2012,284692.61,1028723.83,1313416.44,21.68,78.32
"all","28017",dic 2012,293968.13,1151811.17,1445779.3,20.33,79.67
"all","28017",ene 2013,238703.56,1032235.52,1270939.08,18.78,81.22
"all","28017",feb 2013,262752.76,974463.37,1237216.13,21.24,78.76
"all","28017",mar 2013,278390.81,1029673.82,1308064.63,21.28,78.72
"all","28017",abr 2013,294243.63,1041672.33,1335915.96,22.03,77.97
"all","28018",nov 2012,186612.1,677963.5,864575.6,21.58,78.42
"all","28018",dic 2012,191366.39,747442.52,938808.91,20.38,79.62
"all","28018",ene 2013,171882.06,666987.39,838869.45,20.49,79.51
"all","28018",feb 2013,179469.68,618610.11,798079.79,22.49,77.51
