"category","cp_origin","month","exp_in","exp_out","exp_total","exp_in_per","exp_out_per"
"es_health","28041",mar 2013,27802.48,37450.23,65252.71,42.61,57.39
"es_health","28041",abr 2013,27232.25,39611.42,66843.67,40.74,59.26
"es_health","28042",nov 2012,21422.5,45032.97,66455.47,32.24,67.76
"es_health","28042",dic 2012,24883.99,25157.11,50041.1,49.73,50.27
"es_health","28042",ene 2013,25758.24,29695.74,55453.98,46.45,53.55
"es_health","28042",feb 2013,31550.67,34944.55,66495.22,47.45,52.55
"es_health","28042",mar 2013,22697.47,38044.14,60741.61,37.37,62.63
"es_health","28042",abr 2013,27071.82,45840.13,72911.95,37.13,62.87
"es_health","28043",nov 2012,55329.29,75258.9,130588.19,42.37,57.63
"es_health","28043",dic 2012,51565.85,73999.57,125565.42,41.07,58.93
"es_health","28043",ene 2013,57795.7,70933.28,128728.98,44.9,55.1
"es_health","28043",feb 2013,55424.43,83836.07,139260.5,39.8,60.2
"es_health","28043",mar 2013,58652.16,75097.55,133749.71,43.85,56.15
"es_health","28043",abr 2013,69868.29,86371.33,156239.62,44.72,55.28
"es_health","28044",nov 2012,22199.15,29813.76,52012.91,42.68,57.32
"es_health","28044",dic 2012,19264.57,26081.61,45346.18,42.48,57.52
"es_health","28044",ene 2013,21247.27,32901.71,54148.98,39.24,60.76
"es_health","28044",feb 2013,25788.86,31323.44,57112.3,45.15,54.85
"es_health","28044",mar 2013,24915.24,28997.48,53912.72,46.21,53.79
"es_health","28044",abr 2013,26077.77,35872.84,61950.61,42.09,57.91
"es_health","28045",nov 2012,40565.17,63895.01,104460.18,38.83,61.17
"es_health","28045",dic 2012,39594.06,52912.82,92506.88,42.8,57.2
"es_health","28045",ene 2013,45510.49,65235.73,110746.22,41.09,58.91
"es_health","28045",feb 2013,43226.79,67903.96,111130.75,38.9,61.1
"es_health","28045",mar 2013,39346.97,61936.24,101283.21,38.85,61.15
"es_health","28045",abr 2013,51560.75,66805.4,118366.15,43.56,56.44
"es_health","28046",nov 2012,10594.38,27333.64,37928.02,27.93,72.07
"es_health","28046",dic 2012,8952.49,23150.06,32102.55,27.89,72.11
"es_health","28046",ene 2013,7715.64,23364.6,31080.24,24.82,75.18
"es_health","28046",feb 2013,7045.06,22606.84,29651.9,23.76,76.24
"es_health","28046",mar 2013,4487.36,20655.1,25142.46,17.85,82.15
"es_health","28046",abr 2013,6725.3,32445.49,39170.79,17.17,82.83
"es_health","28047",nov 2012,26126.57,56215.26,82341.83,31.73,68.27
"es_health","28047",dic 2012,18156.09,41512.12,59668.21,30.43,69.57
"es_health","28047",ene 2013,16318.67,47721.77,64040.44,25.48,74.52
"es_health","28047",feb 2013,15495.19,59546.98,75042.17,20.65,79.35
"es_health","28047",mar 2013,16383.11,39998.17,56381.28,29.06,70.94
"es_health","28047",abr 2013,21012.31,61963.57,82975.88,25.32,74.68
"es_health","28048",nov 2012,0,1470.61,1470.61,0,100
"es_health","28048",dic 2012,0,693.02,693.02,0,100
"es_health","28048",ene 2013,0,1651.66,1651.66,0,100
"es_health","28048",feb 2013,0,1965.52,1965.52,0,100
"es_health","28048",mar 2013,0,1430.23,1430.23,0,100
"es_health","28048",abr 2013,0,1560.18,1560.18,0,100
"es_health","28049",nov 2012,2619.32,17694.72,20314.04,12.89,87.11
"es_health","28049",dic 2012,2355.29,18036.02,20391.31,11.55,88.45
"es_health","28049",ene 2013,1968.48,17592.55,19561.03,10.06,89.94
"es_health","28049",feb 2013,1856.19,19965.56,21821.75,8.51,91.49
"es_health","28049",mar 2013,1807.71,19735.88,21543.59,8.39,91.61
"es_health","28049",abr 2013,2267.63,23597.06,25864.69,8.77,91.23
"es_health","28050",nov 2012,53011.68,66957.26,119968.94,44.19,55.81
"es_health","28050",dic 2012,36693.93,35494.51,72188.44,50.83,49.17
"es_health","28050",ene 2013,43034.28,41780.23,84814.51,50.74,49.26
"es_health","28050",feb 2013,47370.49,46936.83,94307.32,50.23,49.77
"es_health","28050",mar 2013,43590.01,45214.7,88804.71,49.09,50.91
"es_health","28050",abr 2013,47798.86,65376.44,113175.3,42.23,57.77
"es_health","28051",nov 2012,6595.06,8010.43,14605.49,45.15,54.85
"es_health","28051",dic 2012,6445.62,11994.32,18439.94,34.95,65.05
"es_health","28051",ene 2013,6399.48,12810.13,19209.61,33.31,66.69
"es_health","28051",feb 2013,7425.67,8321.16,15746.83,47.16,52.84
"es_health","28051",mar 2013,6594.45,8490.94,15085.39,43.71,56.29
"es_health","28051",abr 2013,7955.61,14483.04,22438.65,35.45,64.55
"es_health","28052",abr 2013,0,47.09,47.09,0,100
"es_health","28053",nov 2012,5479.37,14658.25,20137.62,27.21,72.79
"es_health","28053",dic 2012,3764.23,16963.55,20727.78,18.16,81.84
"es_health","28053",ene 2013,3983.55,15346.25,19329.8,20.61,79.39
"es_health","28053",feb 2013,5195.93,21988.39,27184.32,19.11,80.89
"es_health","28053",mar 2013,6915.61,23733.03,30648.64,22.56,77.44
"es_health","28053",abr 2013,8400.35,20475.71,28876.06,29.09,70.91
"es_health","28054",nov 2012,7816.79,12425.75,20242.54,38.62,61.38
"es_health","28054",dic 2012,5444.25,9993.66,15437.91,35.27,64.73
"es_health","28054",ene 2013,6805.91,16162.41,22968.32,29.63,70.37
"es_health","28054",feb 2013,11819.45,14416.22,26235.67,45.05,54.95
"es_health","28054",mar 2013,12550.06,12946.77,25496.83,49.22,50.78
"es_health","28054",abr 2013,12236.14,19611.82,31847.96,38.42,61.58
"es_health","28055",nov 2012,0,658.84,658.84,0,100
"es_health","28055",dic 2012,0,585.69,585.69,0,100
"es_health","28055",ene 2013,0,469.1,469.1,0,100
"es_health","28055",feb 2013,0,600.26,600.26,0,100
"es_health","28055",mar 2013,0,814.5,814.5,0,100
"es_health","28055",abr 2013,0,885.54,885.54,0,100
"es_home","28001",nov 2012,11289.16,14556.29,25845.45,43.68,56.32
"es_home","28001",dic 2012,16820.71,16566.38,33387.09,50.38,49.62
"es_home","28001",ene 2013,14686.52,11213.92,25900.44,56.7,43.3
"es_home","28001",feb 2013,16297.56,15249.32,31546.88,51.66,48.34
"es_home","28001",mar 2013,15868.96,15286.69,31155.65,50.93,49.07
"es_home","28001",abr 2013,15890.73,12805.11,28695.84,55.38,44.62
"es_home","28002",nov 2012,11973.37,32308.23,44281.6,27.04,72.96
"es_home","28002",dic 2012,12168.53,31633.48,43802.01,27.78,72.22
"es_home","28002",ene 2013,7184.3,32858.91,40043.21,17.94,82.06
"es_home","28002",feb 2013,7941.61,30055.17,37996.78,20.9,79.1
"es_home","28002",mar 2013,6726.16,29173.4,35899.56,18.74,81.26
"es_home","28002",abr 2013,11158.65,38714.34,49872.99,22.37,77.63
"es_home","28003",nov 2012,7936.04,30139.04,38075.08,20.84,79.16
"es_home","28003",dic 2012,8756.88,29424.51,38181.39,22.93,77.07
"es_home","28003",ene 2013,6597.66,25612.47,32210.13,20.48,79.52
"es_home","28003",feb 2013,4349.98,28551.85,32901.83,13.22,86.78
"es_home","28003",mar 2013,1888.88,24013.81,25902.69,7.29,92.71
"es_home","28003",abr 2013,5698.42,22775.72,28474.14,20.01,79.99
"es_home","28004",nov 2012,6737.18,27451.7,34188.88,19.71,80.29
"es_home","28004",dic 2012,4977.71,19086.9,24064.61,20.68,79.32
"es_home","28004",ene 2013,3386.07,17447.33,20833.4,16.25,83.75
"es_home","28004",feb 2013,4408.37,20084.83,24493.2,18,82
"es_home","28004",mar 2013,4347.96,16431.91,20779.87,20.92,79.08
"es_home","28004",abr 2013,5426.16,28164.3,33590.46,16.15,83.85
"es_home","28005",nov 2012,6561.59,37713.16,44274.75,14.82,85.18
"es_home","28005",dic 2012,6055.04,30208.71,36263.75,16.7,83.3
"es_home","28005",ene 2013,6989.78,32267.52,39257.3,17.81,82.19
"es_home","28005",feb 2013,10096,31911.62,42007.62,24.03,75.97
"es_home","28005",mar 2013,4708.13,23819.87,28528,16.5,83.5
"es_home","28005",abr 2013,6325.53,25648.35,31973.88,19.78,80.22
"es_home","28006",nov 2012,11490.23,24884.54,36374.77,31.59,68.41
"es_home","28006",dic 2012,13154.13,27198.65,40352.78,32.6,67.4
"es_home","28006",ene 2013,10417.14,23516.7,33933.84,30.7,69.3
"es_home","28006",feb 2013,10016.94,21058,31074.94,32.23,67.77
"es_home","28006",mar 2013,11708.96,24497.31,36206.27,32.34,67.66
"es_home","28006",abr 2013,10469.02,30872.09,41341.11,25.32,74.68
"es_home","28007",nov 2012,9736.62,49820.73,59557.35,16.35,83.65
"es_home","28007",dic 2012,8305.76,42360.39,50666.15,16.39,83.61
"es_home","28007",ene 2013,5361.7,37596.34,42958.04,12.48,87.52
"es_home","28007",feb 2013,11083.53,42994.34,54077.87,20.5,79.5
"es_home","28007",mar 2013,6621.27,38680.68,45301.95,14.62,85.38
"es_home","28007",abr 2013,10140.35,43266.41,53406.76,18.99,81.01
"es_home","28008",nov 2012,6617.89,10902.43,17520.32,37.77,62.23
"es_home","28008",dic 2012,7133.13,12282.43,19415.56,36.74,63.26
"es_home","28008",ene 2013,9536.11,13865.62,23401.73,40.75,59.25
"es_home","28008",feb 2013,4585.53,11720.12,16305.65,28.12,71.88
"es_home","28008",mar 2013,6388.76,13846.66,20235.42,31.57,68.43
"es_home","28008",abr 2013,4532.97,16407.59,20940.56,21.65,78.35
"es_home","28009",nov 2012,8072.35,27960.37,36032.72,22.4,77.6
"es_home","28009",dic 2012,6693.87,30853.79,37547.66,17.83,82.17
"es_home","28009",ene 2013,6056.29,26665.39,32721.68,18.51,81.49
"es_home","28009",feb 2013,8537.39,27892.55,36429.94,23.44,76.56
"es_home","28009",mar 2013,6710.63,26814.8,33525.43,20.02,79.98
"es_home","28009",abr 2013,9425.67,27382.23,36807.9,25.61,74.39
"es_home","28010",nov 2012,4349.32,29116.73,33466.05,13,87
"es_home","28010",dic 2012,7463.81,26223.28,33687.09,22.16,77.84
"es_home","28010",ene 2013,3009.8,20258.31,23268.11,12.94,87.06
"es_home","28010",feb 2013,5318.84,21276.14,26594.98,20,80
"es_home","28010",mar 2013,3353.19,14081.86,17435.05,19.23,80.77
"es_home","28010",abr 2013,3785.75,22522.3,26308.05,14.39,85.61
"es_home","28011",nov 2012,3826.94,8109.16,11936.1,32.06,67.94
"es_home","28011",dic 2012,2929.81,7195.37,10125.18,28.94,71.06
"es_home","28011",ene 2013,2953.1,17437.6,20390.7,14.48,85.52
"es_home","28011",feb 2013,3514.73,10054.36,13569.09,25.9,74.1
"es_home","28011",mar 2013,3147.78,8403.58,11551.36,27.25,72.75
"es_home","28011",abr 2013,4123.78,8242.38,12366.16,33.35,66.65
"es_home","28012",nov 2012,2426.03,18225.68,20651.71,11.75,88.25
"es_home","28012",dic 2012,2398.65,15804.94,18203.59,13.18,86.82
"es_home","28012",ene 2013,4631.74,16685.7,21317.44,21.73,78.27
"es_home","28012",feb 2013,4336.39,12954.18,17290.57,25.08,74.92
"es_home","28012",mar 2013,1427.03,25152.77,26579.8,5.37,94.63
"es_home","28012",abr 2013,1893.87,12929.93,14823.8,12.78,87.22
"es_home","28013",nov 2012,446,6591.85,7037.85,6.34,93.66
"es_home","28013",dic 2012,1123.62,6344.9,7468.52,15.04,84.96
"es_home","28013",ene 2013,636.32,5985.62,6621.94,9.61,90.39
"es_home","28013",feb 2013,514.9,6901.37,7416.27,6.94,93.06
"es_home","28013",mar 2013,363.55,5778.51,6142.06,5.92,94.08
"es_home","28013",abr 2013,416.1,4036.39,4452.49,9.35,90.65
"es_home","28014",nov 2012,522.67,15907.26,16429.93,3.18,96.82
"es_home","28014",dic 2012,671.85,13477.88,14149.73,4.75,95.25
"es_home","28014",ene 2013,384.3,12526.42,12910.72,2.98,97.02
"es_home","28014",feb 2013,364.3,11531.79,11896.09,3.06,96.94
"es_home","28014",mar 2013,549.15,15537.37,16086.52,3.41,96.59
"es_home","28014",abr 2013,328.55,7870.85,8199.4,4.01,95.99
"es_home","28015",nov 2012,5970.36,20881.87,26852.23,22.23,77.77
"es_home","28015",dic 2012,7861.84,20036.33,27898.17,28.18,71.82
"es_home","28015",ene 2013,7970.33,28972.06,36942.39,21.58,78.42
"es_home","28015",feb 2013,9725.93,26675.71,36401.64,26.72,73.28
"es_home","28015",mar 2013,7524.52,22367.62,29892.14,25.17,74.83
"es_home","28015",abr 2013,6123.35,21054.1,27177.45,22.53,77.47
"es_home","28016",nov 2012,5119.64,20743.07,25862.71,19.8,80.2
"es_home","28016",dic 2012,5260.03,18212.22,23472.25,22.41,77.59
"es_home","28016",ene 2013,5149.55,19932.46,25082.01,20.53,79.47
"es_home","28016",feb 2013,8258.97,17013.38,25272.35,32.68,67.32
"es_home","28016",mar 2013,4562.25,21526.32,26088.57,17.49,82.51
"es_home","28016",abr 2013,6659.14,22144.67,28803.81,23.12,76.88
"es_home","28017",nov 2012,7782.61,40636.75,48419.36,16.07,83.93
"es_home","28017",dic 2012,9400.53,31404.83,40805.36,23.04,76.96
"es_home","28017",ene 2013,4794.46,26408.57,31203.03,15.37,84.63
"es_home","28017",feb 2013,6137.32,33461.64,39598.96,15.5,84.5
"es_home","28017",mar 2013,4006.22,31085.56,35091.78,11.42,88.58
"es_home","28017",abr 2013,5186.7,26400.83,31587.53,16.42,83.58
"es_home","28018",nov 2012,4362.72,29553.54,33916.26,12.86,87.14
"es_home","28018",dic 2012,1745.57,20936.88,22682.45,7.7,92.3
"es_home","28018",ene 2013,4270.95,25140.79,29411.74,14.52,85.48
"es_home","28018",feb 2013,2341.45,24260.06,26601.51,8.8,91.2
"es_home","28018",mar 2013,1979.39,22953,24932.39,7.94,92.06
"es_home","28018",abr 2013,3881.62,24314.22,28195.84,13.77,86.23
"es_home","28019",nov 2012,4731.24,13563.65,18294.89,25.86,74.14
"es_home","28019",dic 2012,4610.63,17723.07,22333.7,20.64,79.36
"es_home","28019",ene 2013,8826.41,19697.61,28524.02,30.94,69.06
"es_home","28019",feb 2013,5549.15,18394.72,23943.87,23.18,76.82
"es_home","28019",mar 2013,6867.26,13937.27,20804.53,33.01,66.99
"es_home","28019",abr 2013,4772.65,19148.78,23921.43,19.95,80.05
"es_home","28020",nov 2012,12750.72,17747.18,30497.9,41.81,58.19
"es_home","28020",dic 2012,10865.36,14514.29,25379.65,42.81,57.19
"es_home","28020",ene 2013,12588.25,19093.78,31682.03,39.73,60.27
"es_home","28020",feb 2013,13372.71,12774.73,26147.44,51.14,48.86
"es_home","28020",mar 2013,7234.97,16396.03,23631,30.62,69.38
"es_home","28020",abr 2013,11323.86,17440.46,28764.32,39.37,60.63
"es_home","28021",nov 2012,4471.83,15902.72,20374.55,21.95,78.05
"es_home","28021",dic 2012,2112.64,15091.95,17204.59,12.28,87.72
"es_home","28021",ene 2013,5174.65,14222.3,19396.95,26.68,73.32
"es_home","28021",feb 2013,4562.91,13392.68,17955.59,25.41,74.59
"es_home","28021",mar 2013,3889.33,13930.56,17819.89,21.83,78.17
"es_home","28021",abr 2013,6797.01,9542.85,16339.86,41.6,58.4
"es_home","28022",nov 2012,5975.36,35726.46,41701.82,14.33,85.67
"es_home","28022",dic 2012,3840.25,23935.17,27775.42,13.83,86.17
"es_home","28022",ene 2013,6391.58,23951.98,30343.56,21.06,78.94
"es_home","28022",feb 2013,7268.25,19487.27,26755.52,27.17,72.83
"es_home","28022",mar 2013,6709.78,18471.24,25181.02,26.65,73.35
"es_home","28022",abr 2013,6590.57,16617.6,23208.17,28.4,71.6
"es_home","28023",nov 2012,2462.31,10311.25,12773.56,19.28,80.72
"es_home","28023",dic 2012,1986.45,8555.32,10541.77,18.84,81.16
"es_home","28023",ene 2013,1729.39,10110.36,11839.75,14.61,85.39
"es_home","28023",feb 2013,2778.78,9095.12,11873.9,23.4,76.6
"es_home","28023",mar 2013,2021.47,12931.04,14952.51,13.52,86.48
"es_home","28023",abr 2013,2317.2,11101.25,13418.45,17.27,82.73
"es_home","28024",nov 2012,6124.05,8948.44,15072.49,40.63,59.37
"es_home","28024",dic 2012,3968.29,6063.7,10031.99,39.56,60.44
"es_home","28024",ene 2013,1895.26,8691.26,10586.52,17.9,82.1
"es_home","28024",feb 2013,3534.19,7879.05,11413.24,30.97,69.03
"es_home","28024",mar 2013,2602.2,7117.06,9719.26,26.77,73.23
"es_home","28024",abr 2013,1159.33,8049.55,9208.88,12.59,87.41
"es_home","28025",nov 2012,6145.92,11345.99,17491.91,35.14,64.86
"es_home","28025",dic 2012,3694.35,7929.4,11623.75,31.78,68.22
"es_home","28025",ene 2013,3166.75,13157.34,16324.09,19.4,80.6
"es_home","28025",feb 2013,5988.51,11452.69,17441.2,34.34,65.66
"es_home","28025",mar 2013,2747.87,11209.27,13957.14,19.69,80.31
"es_home","28025",abr 2013,7009.34,11478.71,18488.05,37.91,62.09
"es_home","28026",nov 2012,4912.71,14014.73,18927.44,25.96,74.04
"es_home","28026",dic 2012,3983.52,12100.15,16083.67,24.77,75.23
"es_home","28026",ene 2013,3985.84,11424.6,15410.44,25.86,74.14
"es_home","28026",feb 2013,6778.35,12127.74,18906.09,35.85,64.15
"es_home","28026",mar 2013,4860.3,14992.54,19852.84,24.48,75.52
"es_home","28026",abr 2013,5367.42,10995.98,16363.4,32.8,67.2
"es_home","28027",nov 2012,7869.53,26269.52,34139.05,23.05,76.95
"es_home","28027",dic 2012,9414.11,25060.19,34474.3,27.31,72.69
"es_home","28027",ene 2013,7594.37,30677.58,38271.95,19.84,80.16
"es_home","28027",feb 2013,9318.46,21353.26,30671.72,30.38,69.62
"es_home","28027",mar 2013,7046.56,32436.54,39483.1,17.85,82.15
"es_home","28027",abr 2013,6548.51,34635.54,41184.05,15.9,84.1
"es_home","28028",nov 2012,7283.24,26164.78,33448.02,21.77,78.23
"es_home","28028",dic 2012,11205.24,24256.63,35461.87,31.6,68.4
"es_home","28028",ene 2013,10312.95,26990.7,37303.65,27.65,72.35
"es_home","28028",feb 2013,7557.09,29481.15,37038.24,20.4,79.6
"es_home","28028",mar 2013,9295.38,31250.13,40545.51,22.93,77.07
"es_home","28028",abr 2013,6416.08,25074.82,31490.9,20.37,79.63
"es_home","28029",nov 2012,12524.69,21825.48,34350.17,36.46,63.54
"es_home","28029",dic 2012,8613.22,14681.69,23294.91,36.97,63.03
"es_home","28029",ene 2013,10978.78,14884.3,25863.08,42.45,57.55
"es_home","28029",feb 2013,7092.67,20243.87,27336.54,25.95,74.05
"es_home","28029",mar 2013,8086.06,17398.21,25484.27,31.73,68.27
"es_home","28029",abr 2013,8733.86,20438.08,29171.94,29.94,70.06
"es_home","28030",nov 2012,4566.62,39675.18,44241.8,10.32,89.68
"es_home","28030",dic 2012,5196.62,38244.51,43441.13,11.96,88.04
"es_home","28030",ene 2013,5729.03,42137.96,47866.99,11.97,88.03
"es_home","28030",feb 2013,5895.95,43379.17,49275.12,11.97,88.03
"es_home","28030",mar 2013,3998.29,33444.25,37442.54,10.68,89.32
"es_home","28030",abr 2013,9671.8,35980.28,45652.08,21.19,78.81
"es_home","28031",nov 2012,4084.47,23620.78,27705.25,14.74,85.26
"es_home","28031",dic 2012,4153.23,23470.17,27623.4,15.04,84.96
"es_home","28031",ene 2013,2352.94,24983.79,27336.73,8.61,91.39
"es_home","28031",feb 2013,3499.89,27245.1,30744.99,11.38,88.62
"es_home","28031",mar 2013,4099.54,24973.65,29073.19,14.1,85.9
"es_home","28031",abr 2013,3584.7,20869.11,24453.81,14.66,85.34
"es_home","28032",nov 2012,2296.65,23991.05,26287.7,8.74,91.26
"es_home","28032",dic 2012,5932.2,27521.02,33453.22,17.73,82.27
"es_home","28032",ene 2013,6642.43,30560.44,37202.87,17.85,82.15
"es_home","28032",feb 2013,6761.11,30236.52,36997.63,18.27,81.73
"es_home","28032",mar 2013,4560.15,26619.23,31179.38,14.63,85.37
"es_home","28032",abr 2013,6352.3,30422.57,36774.87,17.27,82.73
"es_home","28033",nov 2012,2819.09,23024.46,25843.55,10.91,89.09
"es_home","28033",dic 2012,2758.4,23334.33,26092.73,10.57,89.43
"es_home","28033",ene 2013,2959.14,28988.05,31947.19,9.26,90.74
"es_home","28033",feb 2013,3728.53,28184.36,31912.89,11.68,88.32
"es_home","28033",mar 2013,2912.08,27694.33,30606.41,9.51,90.49
"es_home","28033",abr 2013,4344.98,32372.68,36717.66,11.83,88.17
"es_home","28034",nov 2012,5234.23,27685.27,32919.5,15.9,84.1
"es_home","28034",dic 2012,4194.79,30329.36,34524.15,12.15,87.85
"es_home","28034",ene 2013,3136.1,34170.67,37306.77,8.41,91.59
"es_home","28034",feb 2013,3912.7,24759.88,28672.58,13.65,86.35
"es_home","28034",mar 2013,3050.12,21011.74,24061.86,12.68,87.32
"es_home","28034",abr 2013,8122.78,27861.54,35984.32,22.57,77.43
"es_home","28035",nov 2012,2077.77,33756.64,35834.41,5.8,94.2
"es_home","28035",dic 2012,2188.17,33978.44,36166.61,6.05,93.95
"es_home","28035",ene 2013,2945.29,26779.71,29725,9.91,90.09
"es_home","28035",feb 2013,2791.77,29031.05,31822.82,8.77,91.23
"es_home","28035",mar 2013,2013.86,29100.26,31114.12,6.47,93.53
"es_home","28035",abr 2013,2993.3,32744.69,35737.99,8.38,91.62
"es_home","28036",nov 2012,9909.25,16751.32,26660.57,37.17,62.83
"es_home","28036",dic 2012,8440.68,25653.23,34093.91,24.76,75.24
"es_home","28036",ene 2013,8353.74,21166.59,29520.33,28.3,71.7
"es_home","28036",feb 2013,7352.4,16750.84,24103.24,30.5,69.5
"es_home","28036",mar 2013,4006.89,15739.36,19746.25,20.29,79.71
"es_home","28036",abr 2013,7993.14,18700.22,26693.36,29.94,70.06
"es_home","28037",nov 2012,2030.61,12504.16,14534.77,13.97,86.03
"es_home","28037",dic 2012,3000.52,9369.76,12370.28,24.26,75.74
"es_home","28037",ene 2013,2295.62,9348.72,11644.34,19.71,80.29
"es_home","28037",feb 2013,2160.69,8135.32,10296.01,20.99,79.01
"es_home","28037",mar 2013,1317.04,11025.53,12342.57,10.67,89.33
"es_home","28037",abr 2013,1315.03,11020.43,12335.46,10.66,89.34
"es_home","28038",nov 2012,3759.36,22225.05,25984.41,14.47,85.53
"es_home","28038",dic 2012,2945.48,19967.18,22912.66,12.86,87.14
"es_home","28038",ene 2013,4122.12,22362.13,26484.25,15.56,84.44
"es_home","28038",feb 2013,4452,16946.66,21398.66,20.81,79.19
"es_home","28038",mar 2013,2866.36,20883.74,23750.1,12.07,87.93
"es_home","28038",abr 2013,3514.5,21045.33,24559.83,14.31,85.69
"es_home","28039",nov 2012,5118.45,21323.34,26441.79,19.36,80.64
"es_home","28039",dic 2012,3177.69,17644.7,20822.39,15.26,84.74
"es_home","28039",ene 2013,3544.43,23856.78,27401.21,12.94,87.06
"es_home","28039",feb 2013,3437.09,19633.89,23070.98,14.9,85.1
"es_home","28039",mar 2013,2044.25,18690.42,20734.67,9.86,90.14
"es_home","28039",abr 2013,2716.15,23994.34,26710.49,10.17,89.83
"es_home","28040",nov 2012,0,6079.02,6079.02,0,100
"es_home","28040",dic 2012,0,2991.19,2991.19,0,100
"es_home","28040",ene 2013,0,3098.92,3098.92,0,100
"es_home","28040",feb 2013,0,3015.42,3015.42,0,100
"es_home","28040",mar 2013,0,6500.93,6500.93,0,100
"es_home","28040",abr 2013,0,4757.89,4757.89,0,100
"es_home","28041",nov 2012,711.43,20530.18,21241.61,3.35,96.65
"es_home","28041",dic 2012,1778.7,16588.12,18366.82,9.68,90.32
"es_home","28041",ene 2013,1059.54,15983.12,17042.66,6.22,93.78
"es_home","28041",feb 2013,1519.46,18498.16,20017.62,7.59,92.41
"es_home","28041",mar 2013,1533.28,20480.14,22013.42,6.97,93.03
"es_home","28041",abr 2013,1518.9,16723.21,18242.11,8.33,91.67
"es_home","28042",nov 2012,2836.62,17892.25,20728.87,13.68,86.32
"es_home","28042",dic 2012,1074.6,12255.94,13330.54,8.06,91.94
"es_home","28042",ene 2013,1799.12,10885.82,12684.94,14.18,85.82
"es_home","28042",feb 2013,2082.86,15789.45,17872.31,11.65,88.35
"es_home","28042",mar 2013,1144.23,14822.36,15966.59,7.17,92.83
"es_home","28042",abr 2013,2083.74,10889.66,12973.4,16.06,83.94
"es_home","28043",nov 2012,10741.25,26161.68,36902.93,29.11,70.89
"es_home","28043",dic 2012,11715.63,24384.45,36100.08,32.45,67.55
"es_home","28043",ene 2013,11029.91,22494.53,33524.44,32.9,67.1
"es_home","28043",feb 2013,8727.74,31276.38,40004.12,21.82,78.18
"es_home","28043",mar 2013,6317.2,33138,39455.2,16.01,83.99
"es_home","28043",abr 2013,11110.57,33685.49,44796.06,24.8,75.2
"es_home","28044",nov 2012,1800.84,11605.53,13406.37,13.43,86.57
"es_home","28044",dic 2012,1664.5,5768.98,7433.48,22.39,77.61
"es_home","28044",ene 2013,1620.37,7237.22,8857.59,18.29,81.71
"es_home","28044",feb 2013,1160.75,6989.31,8150.06,14.24,85.76
"es_home","28044",mar 2013,999.8,5140.83,6140.63,16.28,83.72
"es_home","28044",abr 2013,2819.28,6489.7,9308.98,30.29,69.71
"es_home","28045",nov 2012,15146.85,40145.55,55292.4,27.39,72.61
"es_home","28045",dic 2012,12029.45,38238.19,50267.64,23.93,76.07
"es_home","28045",ene 2013,8369.69,38285.07,46654.76,17.94,82.06
"es_home","28045",feb 2013,10959.43,28949.8,39909.23,27.46,72.54
"es_home","28045",mar 2013,12098.23,26542.31,38640.54,31.31,68.69
"es_home","28045",abr 2013,16066.37,32445.95,48512.32,33.12,66.88
"es_home","28046",nov 2012,1704.27,10227.95,11932.22,14.28,85.72
"es_home","28046",dic 2012,251,7982.37,8233.37,3.05,96.95
"es_home","28046",ene 2013,3308.06,4862.89,8170.95,40.49,59.51
"es_home","28046",feb 2013,3030.25,14603.26,17633.51,17.18,82.82
"es_home","28046",mar 2013,650.8,7519.1,8169.9,7.97,92.03
"es_home","28046",abr 2013,480,8761.36,9241.36,5.19,94.81
"es_home","28047",nov 2012,3443.06,13580.6,17023.66,20.23,79.77
"es_home","28047",dic 2012,3324.55,11670.7,14995.25,22.17,77.83
"es_home","28047",ene 2013,4114.7,13046.65,17161.35,23.98,76.02
"es_home","28047",feb 2013,3677.94,12275.16,15953.1,23.05,76.95
"es_home","28047",mar 2013,5100.4,14631.34,19731.74,25.85,74.15
"es_home","28047",abr 2013,6378.48,13171.68,19550.16,32.63,67.37
"es_home","28048",nov 2012,0,151.73,151.73,0,100
"es_home","28048",ene 2013,0,74.49,74.49,0,100
"es_home","28048",mar 2013,0,63.56,63.56,0,100
"es_home","28049",nov 2012,0,2736.84,2736.84,0,100
"es_home","28049",dic 2012,0,3436.71,3436.71,0,100
"es_home","28049",ene 2013,0,2740.11,2740.11,0,100
"es_home","28049",feb 2013,0,5188.33,5188.33,0,100
"es_home","28049",mar 2013,0,2749.01,2749.01,0,100
"es_home","28049",abr 2013,0,3972.49,3972.49,0,100
"es_home","28050",nov 2012,1254.4,12011.79,13266.19,9.46,90.54
"es_home","28050",dic 2012,3332.07,13363.92,16695.99,19.96,80.04
"es_home","28050",ene 2013,1835.18,14342.27,16177.45,11.34,88.66
"es_home","28050",feb 2013,2852.95,17409.77,20262.72,14.08,85.92
"es_home","28050",mar 2013,5047.04,16672.64,21719.68,23.24,76.76
"es_home","28050",abr 2013,5103,18704.97,23807.97,21.43,78.57
"es_home","28051",nov 2012,14994.14,404.75,15398.89,97.37,2.63
"es_home","28051",dic 2012,11036.09,1119.56,12155.65,90.79,9.21
"es_home","28051",ene 2013,12002.82,708.54,12711.36,94.43,5.57
"es_home","28051",feb 2013,7802.65,1232.38,9035.03,86.36,13.64
"es_home","28051",mar 2013,10499.69,250.22,10749.91,97.67,2.33
"es_home","28051",abr 2013,9989.06,1089.03,11078.09,90.17,9.83
